【自己発案紹介】 ご意見お待ちしております ＜＜Twitterを公衆電話から利用可能にするサービス＞＞ http://www.tanomi.com/metoo/r/?kid=84883 … #saigai #anpi #tanomi_com,Low
【−（マイナス）検索の方法】検索する時に、必要のないキーワードの前に−をつけて一緒に検索すると除外されます。例：「#anpi -RT -#jishin」で検索すると、#anpiの中で、RTと#jishinが入っていないもののみが表示されます。結果を絞りたい時はぜひ試してください。,Low
流石にこの間の今回で物資要請も無いかなー、でももしかしたらなー、とか色々考えてFBに御触れを出す形でバランスを取ってみるマン,Low
@psi_liszt 最初にクワイエットをマーキングしたらマップ開いて、クワイエットの居る場所に支援物資要請してクワイエットに直撃させるとスタミナ半分も減るから、それをもう1回やると簡単にスタミナキルできるで　ほんと短時間でできる,Low
楽器が男根のメタファーかは別としても、鈍器などが「男性のシンボル」として表象されるという話は聞いたことがないでもない。とりわけ男子の心を魅了する「ドリル」。つまりドリルが活躍するサンダーバードは国際救助隊でありながら男性のシンボルを掲げて各地で活動していたといえるんじゃないかな。,Low
まさかののび太(妻夫木)の眼鏡にドミネーター機能がついたwwwえ、『サイコパス』の監督じゃなくて『踊る大捜査線』の監督なん？人命救助がまさかの音ゲーwww,Low
【厚木ネグレクト死事件】毎月十分な収入を得ていたのに、ライフライン復旧の支払いはしなかった: 神奈川県厚木市のアパート一室で昨年5月、死後7年以上が経過したとみられる斎藤理玖（りく）くん（5＝当時）の遺体が発見さ… http://bit.ly/1TMGzFs ,Low
かっこいいライフラインの使い方をする先輩.millioner (2:36) #sm21793714 http://nico.ms/sm21793714?cp_webto=share_tw-spweb …,Low
お、会社近くのＧＳの渋滞が無くなった。#322car,Low
ドライバーも歩行者もリスぺクトが足りない　レーシングドライバー　中嶋一貴　：日本経済新聞 (^^;; この意見には、賛成だね。高速道路に歩行者を入れて、人身事故が起きるまで、放置するのは、道路管理会社の責任だと思います。 #322car,Low
そうなのです。年末はスポーツ特番が続々なので、凄ワザお休みが続きましてすみません。来週12日（土）は放送しますよっ　地震を想定した「揺れない住宅」づくりに挑みます！（いけだ）RT @aki0717cyan: @nhk_sugowaza,Low
RT300UP】 逆に逃げられないけど・・・ロシアの集合住宅における地震対策用ベッドに震える http://karapaia.livedoor.biz/archives/52206301.html … ,Low
【ここ最近の巨大地震は、自然の地震ではありません！3.11東北大地震も人工津波テロでした。http://bit.ly/SR5ri8 】http://twitpic.com/cogopf/full  #2ch #2chblog #2chmatome #311care #311shi,Low
小豆をフライパンで煎って、ミルしてお湯で煮出して、小豆コーヒーをつくってみましょう。腎臓を強くしてむくみをとってくれる、デトックスドリンクです。冷え性も治るスグレモノですよ。#save_japan #jishin #311care #kenkou,Low
気仙沼復興商店街オフィシャルサイト　http://kesennumafs.com/ 　#311sppt #kesennuma,Low
支援金、失業保険。さらに、今後、復興のために18兆円もの国費が．．．。　>>復興バブル・震災バブル | がんばれ 東日本！ http://hnds.jp/1968  @#jishin #save_miyagi #save_iwate #311sppt #ganbarojpさんから,Low
